Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
media_spine,media-spine-1,Ethernet2/1,media_leaf,media-leaf-1,Ethernet50/1,True
media_spine,media-spine-1,Ethernet3/1,media_leaf,media-leaf-2,Ethernet49/1,True
media_spine,media-spine-1,Ethernet4/1,media_leaf,media-leaf-2,Ethernet50/1,True
media_spine,media-spine-1,Ethernet5/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-1,Ethernet6/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-1,Ethernet7/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-1,Ethernet8/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-1,Ethernet9/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-1,Ethernet10/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-1,Ethernet11/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-1,Ethernet12/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-1,Ethernet13/1,network_port,C100-2 P1,,True
media_spine,media-spine-1,Ethernet14/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-1,Ethernet15/1,network_port,Telestream iQ Inspect - Eth2,,True
media_spine,media-spine-1,Ethernet16/1,network_port,smartSCOPE-AristaMaELAB,mcs sender/receiver,,True
media_spine,media-spine-1,Ethernet17/1,media_leaf,media-leaf-3,Ethernet49/1,True
media_spine,media-spine-1,Ethernet18/1,media_leaf,media-leaf-3,Ethernet50/1,True
media_spine,media-spine-1,Ethernet19/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-1,Ethernet20/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-1,Ethernet21/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-1,Ethernet22/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-1,Ethernet23/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-1,Ethernet24/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-1,Ethernet25/1,media_leaf,media-leaf-4,Ethernet53/1,True
media_spine,media-spine-1,Ethernet26/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-1,Ethernet27/1,ptp_leaf,media-PTP-1,Ethernet51,True
media_spine,media-spine-1,Ethernet27/2,network_port,mcs senders/receivers,,True
media_spine,media-spine-1,Ethernet27/3,network_port,mcs senders/receivers,,True
media_spine,media-spine-1,Ethernet27/4,network_port,mcs senders/receivers,,True
media_spine,media-spine-1,Ethernet28/1,ptp_leaf,media-PTP-2,Ethernet51,True
media_spine,media-spine-1,Ethernet28/2,network_port,mcs senders/receivers,,True
media_spine,media-spine-1,Ethernet28/3,network_port,mcs senders/receivers,,True
media_spine,media-spine-1,Ethernet28/4,network_port,mcs senders/receivers,,True
media_spine,media-spine-2,Ethernet1/1,media_leaf,media-leaf-1,Ethernet51/1,True
media_spine,media-spine-2,Ethernet2/1,media_leaf,media-leaf-1,Ethernet52/1,True
media_spine,media-spine-2,Ethernet3/1,media_leaf,media-leaf-2,Ethernet51/1,True
media_spine,media-spine-2,Ethernet4/1,media_leaf,media-leaf-2,Ethernet52/1,True
media_spine,media-spine-2,Ethernet5/1,network_port,Loopback to this Spine Eth 6/1,,True
media_spine,media-spine-2,Ethernet6/1,network_port,Loopback to this Spine Eth 5/1,,True
media_spine,media-spine-2,Ethernet8/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-2,Ethernet9/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-2,Ethernet10/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-2,Ethernet11/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-2,Ethernet12/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-2,Ethernet13/1,network_port,C100-2 P2,,True
media_spine,media-spine-2,Ethernet15/1,network_port,Telestream iQ Inspect - Eth3,,True
media_spine,media-spine-2,Ethernet16/1,network_port,smartSCOPE-Arista M&E LAB,,True
media_spine,media-spine-2,Ethernet17/1,media_leaf,media-leaf-3,Ethernet51/1,True
media_spine,media-spine-2,Ethernet18/1,media_leaf,media-leaf-3,Ethernet52/1,True
media_spine,media-spine-2,Ethernet19/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-2,Ethernet20/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-2,Ethernet21/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-2,Ethernet22/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-2,Ethernet23/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-2,Ethernet24/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-2,Ethernet25/1,media_leaf,media-leaf-4,Ethernet54/1,True
media_spine,media-spine-2,Ethernet27/1,ptp_leaf,media-PTP-1,Ethernet52,True
media_spine,media-spine-2,Ethernet28/1,ptp_leaf,media-PTP-2,Ethernet52,True
media_spine,media-spine-2,Ethernet31/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-2,Ethernet32/1,network_port,mcs senders/receivers,,True
media_spine,media-spine-2,Ethernet33,network_port,mcs senders/receivers,,True
media_spine,media-spine-2,Ethernet34,network_port,mcs senders/receivers,,True
